"species","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd","PC6_mean","PC6_sd","PC7_mean","PC7_sd","PC8_mean","PC8_sd"
"Azurina_hirundo",121.18876708696,70.6611051654013,-62.1790267677249,52.8462801938833,-51.2547628695468,0.468564492842744,22.1653055704519,30.8322760672612,4.1747921201429,18.7186193114341,9.028280350792,36.5546787526592,60.2345234120002,41.0115871730702,-38.1269672144479,2.38479157364319
"Azurina_lepidolepis",-54.5355639507065,58.0883952224653,47.1274094411769,85.5796765881047,1.81422237882182,63.0451077280517,45.1462800857148,40.1500432948443,-23.7540220964821,43.0702698033836,4.89399953836491,41.4215577099626,18.0807564784623,8.07282380117735,-14.5788562680487,21.9630370956623
"Azurina_multilineata",-165.891614468914,53.6768742594488,-54.6898789652814,63.3756254854289,93.7428222147886,131.387457329259,113.457959848615,39.2744833277659,36.4790277951338,70.4289351499149,0.628943159984221,11.3134698702764,-13.0757307617318,28.4563521444276,-39.2616706289774,33.6635087458068
"Cheiloprion_labiatus",134.558240312743,114.100772312859,113.945948315371,32.1560463823005,-60.110494809113,59.1492516254802,20.5442776477169,22.6935446492489,-39.8837951862076,32.8357299029493,46.3104600390354,29.9724114089265,-12.0216856266723,18.2135126765248,-26.4787379289456,12.240759101035
"Chromis_abyssicola",-154.573690328108,151.719201182751,9.19601004042298,0.580874843331017,65.241537899267,81.2297357091343,9.19981860311022,27.6914682574483,-24.2794203134163,16.164063222938,-23.4631600525496,94.7833548382739,21.7836029777136,40.3540511830692,42.6676860549843,16.9030452869522
"Chromis_abyssus",125.446665125574,107.681992823867,-149.294771653683,44.804421175216,-2.20072130712043,21.3990524782139,-11.1300024340481,15.7978409235603,-18.2729941045138,23.3278814605508,22.9844658635203,27.5803205907102,42.636142011567,12.5019637462489,9.32395094984459,10.8766288842939
"Chromis_albicauda",-137.091357323645,69.3562606508387,254.585697172208,67.7675266390976,13.2128540571292,40.8351702023701,38.9657151063511,13.7395801589231,55.3128208951402,29.2127498324509,-16.3391733354546,58.1062708398142,1.58497869829652,12.5492226446868,73.9561005651209,29.7674591862642
"Chromis_albomaculata",65.6496393163821,35.2917056757201,48.5687880464822,51.4698489873399,25.3748010875081,89.4603107753116,37.3779489006201,69.7228179457029,-35.6981016694956,11.1942617702524,3.56972410862989,5.01922540439059,-17.1671722652914,22.8027967327381,-76.9883110747912,11.9804858574878
"Chromis_alpha",-2.50637965625008,91.5711243848048,13.8623080904909,63.5462751143763,-36.2109533919623,13.5139577394026,46.4390532092049,22.159697324491,-18.4674144125268,34.5620287080166,41.1756891101845,12.9732043398457,18.7865774047059,22.0792838583497,-23.0144883739556,16.9231976658915
"Chromis_alta",44.9923498455481,105.590381239952,-31.1205157883532,79.664320766103,-18.8267313951647,24.4429189433278,-26.712049790058,30.9167998434188,-1.29483732287083,19.1899098668036,39.4063688670555,35.7419193835499,4.80032589255832,26.5996261468477,-6.13500471943483,49.0886137046202
"Chromis_anadema",75.6305405358629,131.204814672909,-83.0719848123253,75.8355443931853,-4.00969746046169,30.9923102755971,62.1753928679857,21.0488214656458,25.8169425830941,24.9390205328393,-39.0186866896919,10.8608485686561,-14.2610417083138,10.552139329553,-62.6937101073898,48.0449177101254
"Chromis_analis",-220.72499571117,73.2465619373359,227.84897925773,119.572095838296,32.4976337760989,24.7698500640279,36.6886867462797,70.3867346831234,86.1381123107374,11.3303633423747,-61.1113594149557,69.3805379547094,11.3159681261223,46.4047463895497,14.5217897242854,75.7932758058203
"Chromis_atripectoralis",-97.4599749191559,108.082528485903,-84.2457251429995,119.801738883483,-39.7984538384437,35.9772027452907,120.828897992085,51.9145536355786,-20.7090438455413,39.329213981477,34.7042502997762,55.4617197867437,6.818393104132,23.5582240916621,118.398976768576,56.4509214057603
"Chromis_bowesi",-52.2951745708563,NA,-4.72846211407464,NA,163.818553000195,NA,90.4813343692504,NA,-126.32416025236,NA,-10.2860021651882,NA,-22.6389511564566,NA,-120.815514123527,NA
"Chromis_cadenati",303.179908628894,30.3744212825181,-134.587530459166,87.6689677516685,-57.1967891051844,36.2677925574019,-9.46948880310175,22.6130034546485,45.3404960257732,18.0152445630375,10.9277671734326,4.12590392216279,29.5005381978987,5.19694917404394,-92.0637568651246,25.6602057057752
"Chromis_chromis",-8.58300248026486,141.41832328212,23.5969612510924,41.9555038523051,-43.4975259096638,29.9341626619802,31.0788304169945,58.7423366370971,-1.6058236234118,38.7743911869364,21.9177414951799,24.9097472204109,14.7567021815205,38.2085553898295,-47.3818635213228,35.5183843610759
"Chromis_chrysura",-37.1578395933902,169.055778326611,5.91315963600091,90.3375635404779,18.9576295237408,58.0859182549004,-22.2143299293605,7.23239989064149,-12.7729448105687,37.018069206336,100.979964410146,48.2579511896465,-21.6991640219569,37.3858117751587,36.9059666248813,12.0332243728828
"Chromis_cinerascens",-231.96394905019,225.545846844742,23.1701807194146,74.5164939646092,16.4118885639764,61.0443268263089,-34.6085244934953,56.2612542862144,16.0126849199292,22.9373261714479,85.2673055002967,14.7010354183388,22.1629399799474,53.1034962425974,54.7551190664715,73.2313014931802
