"","body_ratio","head_ratio","snout_ratio","eye_ratio","peduncle_ratio","anal_fin_ratio","pelvic_fin_ratio","eye_height","snout_angle","peduncle_depth_factor","relative_body_length","species"
"Abudefduf-notatus_8",0.552395826181374,0.177119860506486,0.450968753839443,0.441610295098357,0.0183738426023234,0.235842837750834,0.0656964730009472,0.612453940626215,1.23619250122079,15.7288127959122,0.54104612568771,"Abudefduf_notatus"
"Abudefduf-saxatilis_1",0.573709403239876,0.174261621332384,0.485385080432247,0.471421116335703,0.0177016092972153,0.245753903345527,0.0570127718839994,0.668525307135584,1.1733757030185,16.6493396459026,0.53584676068676,"Abudefduf_saxatilis"
"Abudefduf-septemfasciatus_1",0.579696932374515,0.184908099223484,0.493895272907996,0.257696360141919,0.0200858052826308,0.214033256278587,0.06794033169482,0.633773458318653,1.17691264368016,16.1401314738359,0.534531291455416,"Abudefduf_septemfasciatus"
"Abudefduf-sexfasciatus_2",0.485415544977416,0.180792525986588,0.479324299623178,0.406581349685278,0.0177254005837981,0.232941598252199,0.0943988596863914,0.656523057405861,1.13470942360518,16.6636871155959,0.54072508923742,"Abudefduf_sexfasciatus"
"Abudefduf-sordidus_5",0.616019165954383,0.150847772660712,0.366879177521258,0.463697480517602,0.0140386020731717,0.222038341316552,0.101597887396359,0.646644954036781,1.31692980797012,22.2251778487461,0.515243835089708,"Abudefduf_sordidus"
"Abudefduf-sparoides_17",0.532673552580351,0.183999199220674,0.43356754818303,0.451850765098075,0.0185983802262305,0.217261840208384,0.0700678533494184,0.680556635429276,1.23950121454864,16.2823596668018,0.537068612043162,"Abudefduf_sparoides"
"Abudefduf-taurus_1",0.528395799234046,0.211804891674047,0.606643656601933,0.30162159462567,0.0121408555786054,0.177992688626489,0.105961123608987,0.63242212424149,1.04406632869909,17.5189725851872,0.542667688238686,"Abudefduf_taurus"
"Abudefduf-troschelii_1",0.570532340875827,0.141830229031569,0.416481463064864,0.26798149494362,0.0158454481705951,0.257710107852586,0.116749444184751,0.66896467348736,1.31053303451475,18.714486669255,0.520436321429536,"Abudefduf_troschelii"
"Abudefduf-vaigiensis_1",0.520058716376509,0.195747265718194,0.631427158706003,0.288902584815539,0.0272572824031931,0.22036896892052,0.0574497748816832,0.593564146668802,1.24177617247402,11.2820664634232,0.562997300824196,"Abudefduf_vaigiensis"
"Abudefduf-whitleyi_7",0.561366340035285,0.152513727601817,0.416428433527631,0.580805589057322,0.0216385319084139,0.262509358963551,0.050740300609562,0.710263209675135,1.23660380539772,16.5792956613625,0.530054654110938,"Abudefduf_whitleyi"
