TraitSet,PC,model,AIC,k,n_obs,AICc,DeltaAICc,Weight
Color,colorPC3,OUM_Symbiosis,970.6518955076849,5,343,970.8299370507116,0,0.3682466716038989
Color,colorPC3,OUM_Habitat,974.0846555706702,7,343,974.4189839288791,3.589046878167551,0.06120504237078232
Color,colorPC4,WN,976.4256673306086,1,343,976.4373975358872,70.92125914944529,2.2891222584038407e-16
Color,colorPC4,BM,1257.3303478416747,1,343,1257.3420780469532,351.8259396605114,2.3014028411113403e-77
Color,colorPC4,EB,1259.367724597279,1,343,1259.3794548025576,353.8633164161157,8.309634154032162e-78
Color,colorPC4,OU,971.0461104974062,1,343,971.0578407026848,65.54170231624289,3.371513571096087e-15
Color,colorPC4,OUM_Diet,975.1007352567208,5,343,975.2787767997474,69.76263841330558,4.085641765405051e-16
Color,colorPC4,OUM_Symbiosis,905.9465279194675,5,343,906.1245694624942,0.608431076052284,0.4245272846972254
Color,colorPC4,OUM_Habitat,905.1818100282329,7,343,905.5161383864419,0,0.5754727153027707
Color,colorPC5,WN,976.4256673306087,1,343,976.4373975358873,8.380867761301374,0.008524870423198171
Color,colorPC5,BM,1289.1369748230884,1,343,1289.148705028367,321.0921752537811,1.0624051080850176e-70
Color,colorPC5,EB,1291.1742519268162,1,343,1291.1859821320948,323.12945235750885,3.836198295251154e-71
Color,colorPC5,OU,969.4118263461502,1,343,969.4235565514288,1.367026776842863,0.2842654019429181
Color,colorPC5,OUM_Diet,967.8784882315592,5,343,968.0565297745859,0,0.5630799944368482
Color,colorPC5,OUM_Symbiosis,970.8299015149433,5,343,971.00794305797,2.951413283384113,0.12872972641252062
Color,colorPC5,OUM_Habitat,974.920308924592,7,343,975.2546372828009,7.198107508215003,0.015400006784514912
Color,colorPC6,WN,976.4256673306087,1,343,976.4373975358873,69.90253465781416,6.431211341439292e-16
Color,colorPC6,BM,1156.3401986779493,1,343,1156.3519288832279,249.81706600515474,5.4998227400121746e-55
Color,colorPC6,EB,1158.3774136642373,1,343,1158.389143869516,251.8542809914428,1.9859718066727296e-55
Color,colorPC6,OU,928.6633135815745,1,343,928.675043786853,22.14018090877994,1.512711538207822e-5
