model,AIC,k,n_obs,AICc,PC,region,TraitSet,DeltaAICc,Weight
WN,357.04275189714986,1,343,357.05448210242844,colorPC2,CPO,Color,24.419601914223904,4.972527606387883e-6
BM,449.18759907284357,1,343,449.19932927812215,colorPC2,CPO,Color,116.56444908991762,4.870548482894746e-26
EB,451.28601914169826,1,343,451.29774934697684,colorPC2,CPO,Color,118.66286915877231,1.7057357134422857e-26
OU,356.55512113435765,1,343,356.56685133963623,colorPC2,CPO,Color,23.931971151431696,6.345485815736612e-6
OUM_Diet,356.1849225844599,5,343,356.36296412748663,colorPC2,CPO,Color,23.7280839392821,7.026489849914443e-6
OUM_Habitat,345.06986935445326,6,343,345.31986935445326,colorPC2,CPO,Color,12.684989166248727,0.0017567743618264729
OUM_Symbiosis,332.4568386451778,5,343,332.63488018820453,colorPC2,CPO,Color,0,0.9982202682948528
DDlin,406.1874995208565,3,343,406.2582959810335,colorPC2,CPO,Color,73.62341579282895,1.0282643401286433e-16
DDexp,357.13385474950053,3,343,357.20465120967754,colorPC2,CPO,Color,24.569771021473002,4.612840048579906e-6
MC,451.28522790169853,3,343,451.35602436187554,colorPC2,CPO,Color,118.72114417367101,1.6567519246712639e-26
WN,63.402565383136746,1,343,63.41429558841534,colorPC2,EPO,Color,2.5850412887113805,0.07612216867047998
BM,61.78753618920191,1,343,61.799266394480505,colorPC2,EPO,Color,0.9700120947765427,0.1706908676820727
EB,64.58172316314479,1,343,64.59345336842338,colorPC2,EPO,Color,3.764199068719421,0.042214368217151355
OU,62.884982057320386,1,343,62.89671226259898,colorPC2,EPO,Color,2.06745796289502,0.09860590961773943
OUM_Diet,63.093723001777086,5,343,63.271764544803794,colorPC2,EPO,Color,2.4425102450998324,0.08174503336455163
OUM_Habitat,64.80092779304991,4,343,64.91927098831619,colorPC2,EPO,Color,4.090016688612224,0.035868225938097666
OUM_Symbiosis,60.71091110443769,4,343,60.82925429970396,colorPC2,EPO,Color,0,0.27723351806081586
DDlin,62.96680619300451,3,343,63.0376026531815,colorPC2,EPO,Color,2.2083483534775397,0.09189861879297305
DDexp,63.131502784530724,3,343,63.20229924470772,colorPC2,EPO,Color,2.3730449450037554,0.08463413769124213
MC,64.58166089082073,3,343,64.65245735099772,colorPC2,EPO,Color,3.82320305129376,0.04098715196487622
WN,83.27743992750726,1,343,83.28917013278586,colorPC2,AO,Color,11.256877587613644,0.0022742771078933413
BM,86.68173939425895,1,343,86.69346959953755,colorPC2,AO,Color,14.66117705436534,4.1458075999670316e-4
EB,89.16056696906513,1,343,89.17229717434373,colorPC2,AO,Color,17.140004629171514,1.2004347938186064e-4
OU,79.12866923664322,1,343,79.14039944192182,colorPC2,AO,Color,7.108106896749604,0.01810245550930858
OUM_Diet,71.8542510021455,5,343,72.03229254517221,colorPC2,AO,Color,0,0.6327662248782758
OUM_Habitat,86.01967449750786,6,343,86.26967449750786,colorPC2,AO,Color,14.237381952335653,5.124306289769862e-4
OUM_Symbiosis,73.87278938517198,4,343,73.99113258043826,colorPC2,AO,Color,1.95884003526605,0.23762196376624908
DDlin,80.46284185178791,3,343,80.533638311964907,colorPC2,AO,Color,8.501345766792696,0.00901985408889719
DDexp,75.6704161422887,3,343,75.7412126024657,colorPC2,AO,Color,3.708920057293483,0.09905160850101959
MC,89.16037443823991,3,343,89.2311708984169,colorPC2,AO,Color,17.198878353244694,1.1656128000083907e-4
WN,329.28357806838136,1,343,329.29530827365994,colorPC3,IO,Color,1.2996039166851006,0.22399220334280237
BM,473.060910613784,1,343,473.0726408190626,colorPC3,IO,Color,145.07693646208776,1.3470441438552975e-32
